pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
B6donor	-0.182678350412	0.0460317336225	-0.00404694099286	0.108140011192	-0.0256885996432	0.0366841960167	-0.101413504424	0.0131935535892	-0.0327757965978	0.0122670768063	-0.0163411290745	0.0248711547841	-0.0419500977199	0.000255044809952	0.0144624976551	0.00884690531786	0.00303192075218	-0.0138669435375	0.0046941231547	-0.00606319051401	0.0113185357845	0.0108421121044	0.000549715744841	0.00320344946882	0.0121940970172	-0.00554363697447	0.0131179577144	-0.0105046460481	-0.00871200422086	-0.00706912070505	-0.0164553498449	0.00766189995915	-0.0030192618265	-0.00473872035364	-0.00527859762529	0.000569402452013	0.000674271795256	0.00202730895335	0.00336168597853	9.82870840838e-05	0.00150867507306	2.41053125157e-09
SC7286	-0.0714095409841	0.0574727256863	-0.00882723903414	-0.0334313557392	-0.0797321682941	0.0287988856644	-0.0571906827243	0.00257096009212	-0.0111172219017	0.0256063624735	0.00459225365173	0.0167313751552	0.00294559423459	-0.0327238842647	-0.0265104655362	0.0131286087738	-0.00533476648084	0.0198734659977	-0.0209852774986	-0.00127666862746	0.00676543006704	0.00720938972908	-0.0160281815349	-0.00466490130795	0.00072775468949	0.0106011840796	0.0114991458475	-0.000903563817945	0.0108631688318	0.0097469473844	0.0144853480488	-0.0132308480208	-0.000742469501745	0.0112075739697	0.00971124791298	0.000472569429098	-0.00579177554509	-0.0029849827062	-0.000550552556828	-0.00568141929758	-0.000688820803553	2.41053125157e-09
SC7287	-0.13257422076	-0.017133629124	-0.0486803431145	-0.00373365477694	-0.00338412395953	0.0387950438355	0.0436043646211	0.0340616242753	0.0102290800404	-0.0242810885356	0.00497113090514	0.0218807370954	0.0194225130581	-0.00865548724721	-0.0280694396849	-0.0212637666013	0.0390924398679	-0.0110834106468	-0.00722978054487	-0.0126089192703	0.0086648306368	-0.00318332883736	0.00470630281405	0.0104744258442	0.000927887671568	-0.0222040544824	-0.00356822775026	-0.00423121300411	0.0095079449814	0.0119174817798	-0.005572350256	-0.00229826499449	-0.0014784576278	-0.00293687238537	-0.00206042635791	-0.00187483199771	-0.0100969036835	0.00769908047306	0.0107053340876	-0.00077303118975	-0.00272799851193	2.41053125157e-09
SC7288	-0.068134483254	-0.00763178222898	-0.0619063251953	0.0185141184035	-0.00201758955207	-0.00163148122883	0.0291322367898	0.0410490558358	-0.0386457135607	0.0142672629605	-0.0035000567993	0.00180301001379	0.00547173810724	0.0334605285111	0.007463398325	-0.0405227192471	-0.0266932971273	0.0288813795316	-0.00962917234243	-0.0261879239596	-0.0180401449209	0.00820590156943	0.0109893981119	0.00879872357875	0.00141944964013	0.013503901929	0.00695696477107	-0.0136794299219	-0.0174421979627	-0.00194595874632	0.0127033475787	-0.00641027644439	-0.00466045016766	-0.00476972739319	-0.00302408726258	-0.0104177541081	-0.000251342923559	0.00310039168375	-0.00196909643032	-0.000550672427171	-0.00179282060347	2.41053125157e-09
SC7289	-0.0621536502541	-0.00498903712583	-0.0644146623367	-0.0333205710342	-0.00955622758013	0.0512617559884	-0.00435333987908	-0.0264075555678	-0.0313858026961	-0.0300103788021	0.0408951459677	-0.0127796667379	0.0122722161553	0.00234417829193	0.00401392980042	-0.0217053565666	-0.00692593095807	-0.00167373891479	-0.00583784561927	0.00583153801839	0.0123301646707	0.00378284475596	0.00640920821008	-0.0196712127068	-0.0123667951721	-0.0142470277527	-0.00232743140148	0.0168247545273	-0.00665535895963	-0.0200475232627	0.0106310009342	-0.00279983856604	0.00276957907398	0.00253297044352	-0.00877451613807	0.00872971178796	0.00702845989989	0.00105736083574	0.0036279374391	-0.0054533879768	0.00527758098432	2.41053125157e-09
SC7290	-0.0864638221789	-0.0056639488463	-0.0447990637055	0.0425188711133	0.0346786114001	0.073210371411	0.0327545628252	-0.0423393519055	-0.0136526279862	-0.00381267408714	-0.000610087798494	-0.000907284880247	0.00163287617267	0.0212469323491	0.0230026557829	-0.00665121302875	-0.002155284028	-0.0137630483894	-0.0230491072776	0.00752716299482	-0.0212864224711	0.00371044679857	-0.0129306118886	0.00826910949947	0.0117771110175	0.00848241784567	-0.00624547447463	0.00908835379802	-0.000341808402032	-0.00194355484968	-0.0102181085897	0.00241624950043	0.00781473325029	-0.00668813591368	0.0215393098865	0.00662621514364	-0.00540285171726	-0.00430123095258	-0.00135567636226	-0.00317047491564	-0.00188815193697	2.41053125157e-09
SC7291	-0.135889890235	-0.0243491471726	-0.00175188012375	0.0649225346552	0.00656417872804	0.0264901990679	0.0343210636243	-0.0382393946003	0.0250043228609	0.012363970159	-0.00483900213283	0.00410211694124	-0.015969480865	0.00311220348713	0.0157739499342	-0.00518027191619	0.00301521438864	-0.0138811752091	0.00532409842782	0.00476915351921	0.00290937061121	-0.0221667312953	-0.0267676031701	0.00517557187075	-0.00833482594063	0.0126387737649	0.0120687108918	-0.00666245384742	0.0202682340219	0.00675241769717	0.00769691007669	-0.00518440088014	0.000872850171717	-0.00531051252682	-0.0140363807427	0.000743280603342	0.0084378748515	0.00841851522794	-0.00716138293927	-0.00412556075859	-0.000156840762539	2.41053125157e-09
SC7292	-0.0440727663224	-0.00527093249475	-0.0245807466254	-8.36398409966e-05	-0.0453514442672	0.0117052919671	0.0369424341541	0.0201676915308	-0.0192844831557	0.0466088249585	0.00939705685199	-0.00316259591582	0.00872213668112	0.00500333232958	-0.00171063698023	0.0158179904777	-0.0151965165284	0.0261700953914	-0.0012040989312	-0.00950933986136	0.0281263791114	-0.0282328151594	0.0098386603179	0.00596748493511	-0.00540999084466	0.00670243039899	-0.0180769666994	0.0117172058893	0.00812335843262	-0.0108376273709	-0.0236533787622	-0.000605657894927	-0.0123312252424	0.00243596604535	-0.00115756708191	0.00540367867677	-0.00257628735158	0.000782481613428	-0.00480127168542	0.00186567317887	-0.000394135131445	2.41053125157e-09
SC7293	-0.122854752196	0.059864778128	-0.053493275225	-0.0516446583607	-0.0171864712428	0.0394447609062	0.0325767912495	0.0352129526585	0.0259633318896	0.0105527553157	-0.0438243645583	-0.00785179474772	0.00821383142762	-0.00648636727254	-0.0180899526897	0.00281522620641	-0.0445725776527	-0.0127204357544	-0.0130725831405	0.00596340203693	-0.000715383550987	0.0108475721004	-0.00295964084509	-0.024261532943	0.0112828103277	0.00356691018324	0.00191458466213	-0.00393645235043	0.0126372685599	0.00145320197717	-0.000646416659422	0.0106786744791	0.00531422426367	-0.00512802789311	-0.00720443035602	0.000445432570865	0.00898986025059	-0.0065969666159	0.00473232115655	0.00664750018928	-0.00101629406846	2.41053125157e-09
SC7294	-0.187627334272	-0.0270208479608	-0.000120144576507	0.0976221428296	0.0228185511423	0.0169084358248	0.0281903981696	0.00539452740536	0.0371274458895	0.0131073338533	0.00360305945142	-0.00432880580212	-0.0440649961783	-0.0246908126143	0.00206518502956	-0.0040801437235	0.0236870110157	0.0119144457	0.00875878783088	-0.00146450475548	0.00484277617565	0.00508470665471	-0.00874694907329	-0.0224581285568	0.00877213099176	-0.00765401986569	-0.0291060070887	0.000612733270875	-0.00928960026641	-0.00154086223953	0.0173107539543	-0.00151281723829	-0.0131722985569	0.000559448676366	0.00261177635226	-0.00457270370454	-0.00341304940711	-0.00541571097023	-0.00245295865315	0.00342762697036	0.0016981909737	2.41053125157e-09
