Taxon	B6.Taconic.Donor	315	316	317	318	319	320	321	322	323	324	325	326	327	328	335	336	341	333	334	342	343	344	345	312	313	314	329	330	331	337	332	338	339	340	301	302	303	304	305	306	307	308	309	310	311
Unassigned;Other;Other;Other	30.0	25.0	43.0	51.0	50.0	49.0	45.0	54.0	22.0	73.0	84.0	34.0	23.0	48.0	51.0	52.0	71.0	62.0	111.0	55.0	55.0	45.0	62.0	75.0	58.0	42.0	60.0	21.0	41.0	76.0	42.0	56.0	63.0	65.0	62.0	54.0	9.0	29.0	66.0	48.0	52.0	57.0	52.0	68.0	70.0	82.0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;Other;Other;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	4.0	0.0	4.0	2.0	0.0	2.0	1.0	5.0	4.0	0.0	4.0	5.0	2.0	0.0	0.0	1.0	1.0	4.0	1.0	0.0	3.0	0.0	4.0	0.0	1.0	0.0	5.0	0.0	3.0	2.0	4.0	0.0	4.0	1.0	7.0	2.0	2.0	0.0	1.0	3.0	0.0	1.0	2.0	0.0	2.0	5.0
k__Bacteria;p__Actinobacteria;c__OPB41;o__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	3270.0	5434.0	6752.0	4892.0	5371.0	4203.0	5222.0	4941.0	4038.0	9644.0	7276.0	5796.0	2074.0	2691.0	3945.0	3622.0	7339.0	4793.0	7495.0	6767.0	5290.0	4604.0	8172.0	6615.0	4341.0	5446.0	4960.0	3300.0	5141.0	6299.0	4103.0	6293.0	6205.0	9047.0	7425.0	7793.0	1963.0	2859.0	9354.0	6047.0	5087.0	8200.0	6010.0	10884.0	6851.0	9256.0
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
