Taxon	JaxB6.1	JaxB6.2	GMNOD.1	GMNOD.2	GMNOD.3	GMNOD.4	GMNOD.5	GMNOD.6	GMNOD.11	GMNOD.12	GMNOD.13	GMNOD.14	GmB6.10	GmB6.11	GmB6.12	GmB6.13	GmB6.14	GmB6.15	GmB6.16	GmB6.17	GmB6.18	GmB6.20	GmB6.21	GmB6.22	GmB6.23	GmB6.24	GmB6.25	GmB6.26
Unassigned;Other;Other;Other	222.0	219.0	91.0	257.0	123.0	219.0	639.0	250.0	137.0	78.0	105.0	86.0	818.0	223.0	1809.0	685.0	1073.0	523.0	2356.0	1982.0	978.0	910.0	1446.0	324.0	406.0	561.0	554.0	445.0
k__Bacteria;Other;Other;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	4.0	0.0	3.0	2.0	1.0	0.0	1.0	2.0	3.0	1.0	2.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	16.0	1.0	0.0	112.0	60.0	111.0	943.0	145.0	23.0	0.0	0.0	0.0	231.0	105.0	476.0	114.0	226.0	119.0	655.0	416.0	472.0	443.0	708.0	106.0	121.0	107.0	89.0	140.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	10.0	26.0	21.0	17.0	12.0	13.0	14.0	18.0	13.0	3.0	13.0	17.0	49.0	38.0	70.0	49.0	49.0	76.0	214.0	247.0	148.0	72.0	85.0	52.0	45.0	28.0	21.0	21.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	15473.0	24488.0	11208.0	16964.0	17714.0	13677.0	22025.0	21321.0	11557.0	3738.0	11888.0	7760.0	36444.0	23605.0	70771.0	31890.0	50434.0	49714.0	133969.0	162134.0	72581.0	40539.0	52261.0	35715.0	25856.0	27928.0	22378.0	15832.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
