Taxon	JaxB6.1	JaxB6.2	GMNOD.1	GMNOD.2	GMNOD.3	GMNOD.4	GMNOD.5	GMNOD.6	GMNOD.11	GMNOD.12	GMNOD.13	GMNOD.14	GmB6.10	GmB6.11	GmB6.12	GmB6.13	GmB6.14	GmB6.15	GmB6.16	GmB6.17	GmB6.18	GmB6.20	GmB6.21	GmB6.22	GmB6.23	GmB6.24	GmB6.25	GmB6.26
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__H39	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	3.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0
k__Bacteria;p__Chloroflexi;c__SL56;o__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Cryptophyta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Haptophyceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Pseudanabaenales	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Synechococcales	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	2.0	0.0	3.0	4.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0
k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	2.0	0.0	11.0	5.0	1.0	1.0	0.0	0.0	2.0	1.0	1.0	0.0
k__Bacteria;p__Firmicutes;Other;Other	0.0	1.0	0.0	0.0	0.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	7.0	1.0	1.0	0.0	2.0	2.0	2.0	2.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;Other	22.0	4.0	0.0	2.0	2.0	5.0	18.0	5.0	0.0	0.0	0.0	0.0	22.0	3.0	30.0	32.0	11.0	2.0	11.0	5.0	3.0	7.0	8.0	6.0	8.0	5.0	14.0	15.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	0.0	0.0	2.0	14.0	6.0	8.0	16.0	10.0	1.0	0.0	7.0	0.0	3.0	0.0	1.0	0.0	2.0	1.0	5.0	2.0	3.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	792.0	424.0	481.0	246.0	36.0	397.0	1352.0	425.0	11.0	55.0	389.0	12.0	1442.0	562.0	2112.0	2052.0	672.0	388.0	1390.0	1675.0	1442.0	944.0	1231.0	1149.0	775.0	1026.0	842.0	672.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales	1468.0	483.0	24.0	862.0	250.0	634.0	1399.0	583.0	142.0	0.0	24.0	4.0	1544.0	767.0	2512.0	2598.0	2258.0	191.0	1562.0	714.0	609.0	1524.0	2419.0	1643.0	904.0	659.0	1196.0	748.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	24088.0	26749.0	26585.0	22354.0	21064.0	15093.0	7072.0	18036.0	25227.0	15474.0	24304.0	21294.0	40929.0	22594.0	59272.0	38233.0	40466.0	48962.0	130165.0	248453.0	74277.0	41891.0	67405.0	48493.0	27166.0	19123.0	22690.0	16066.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales	250.0	122.0	110.0	598.0	112.0	1171.0	5240.0	771.0	24.0	14.0	40.0	60.0	4544.0	1446.0	10912.0	2562.0	7540.0	2124.0	11958.0	4900.0	6405.0	10948.0	10389.0	1349.0	2265.0	3000.0	2419.0	3311.0
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	1.0	0.0	2.0	0.0	6.0	0.0
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales	24.0	36.0	240.0	36.0	806.0	282.0	125.0	152.0	66.0	124.0	197.0	146.0	105.0	19.0	51.0	19.0	26.0	83.0	189.0	3583.0	163.0	121.0	290.0	140.0	33.0	31.0	83.0	19.0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39	32.0	497.0	148.0	236.0	80.0	149.0	166.0	409.0	56.0	20.0	135.0	77.0	412.0	114.0	262.0	217.0	335.0	230.0	819.0	4068.0	391.0	273.0	532.0	373.0	152.0	70.0	115.0	58.0
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales	2.0	14.0	43.0	368.0	221.0	569.0	98.0	801.0	157.0	29.0	61.0	133.0	677.0	578.0	1741.0	481.0	2313.0	1087.0	2098.0	3164.0	2984.0	1917.0	2392.0	178.0	426.0	756.0	73.0	638.0
k__Bacteria;p__WPS-2;c__;o__	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
